Name of contributor and date uploaded,Date of event (M/D/YYYY),Source,Citation (MLA),Action,Resistance,Notes,Classification,
Sofie Quirk (updated daily),First post 2/18/25,We the builders,"We the Builders. We the Builders, https://www.wethebuilders.org/.","Trump's crackdown on bureaucracy, including unlawful or unjustified firings, the dismissal of key federal agencies, and DOGE","Taking testimony from fired government workers, explaining the meaning and neccessity behind disbanned agencies and programs, dicussing possible repucussions for said crackdowns",see here for an up-to-date list and summary of all existing blog posts,,"Note: Please do not follow an agenda, be aware of our resposability with this database. We are looking for violations of rights and democratic blacksliding. If things are achieved throigh democratic means before you put, perhaps, you can ask the class to revise the submission"
,2/25/2025,Career Employees Resign DOGE in Protest - POLITICO,"Long, Katherine. ""Career Employees Resign from DOGE in Protest of Cuts."" Politico, 25 Feb. 2025, https://www.politico.com/news/2025/02/25/doge-resignations-elon-musk-022731.","The career officials have resigned in protest over DOGE practices, saying ""We will not use our skills as technologists to compromise core government systems, jeopardize Americans’ sensitive data, or dismantle critical public services.""","21 Career Employees of DOGE (formerly the US Digital Service) resigned from the service, writing ""we swore to serve the American people and uphold our oath to the Constitution across presidential administrations. However, it has become clear that we can no longer honor those commitments at the United States DOGE Service.”",,,
Thomas Fendig,1/29/2025,Politics over professionalism': Federal employees' union sues Trump over executive order - USA Today,"Bagchi, Aysha. ""Trump Lawsuit Challenges Federal Worker Protections."" USA Today, 29 Jan. 2025, https://www.usatoday.com/story/news/politics/2025/01/29/trump-lawsuit-federal-worker-protections/78026800007/.","The Union has sued the administration, challenging the validity of its Schedule F executive order","The American Federation of Government Employees has sued the Trump administration over their schedule F Executive Order, which reclassified tens of thousands of federal employees and stripped them of civil service protections. The union argues the administration's order has politicized the civil service. ",Follow up ,,"What have we will document: Attack on DEI's policy, immigration and deporations, education, foreign aid, media attacks, FBI, erasure of knowledge, democratic backsliding, judicial changes, private information access, staff purges, dismantle of institutions and individuals rights "
Thomas Fendig (3/21/2025),3/19/25, How major law firms are responding to Trump’s attacks - POLITICO,"Barnes, Daniel. ""How Major Law Firms Are Responding to Trump’s Attacks."" Politico, 19 Mar. 2025, https://www.politico.com/news/2025/03/19/trump-major-law-firm-sanctions-questions-00236446.","This article points to a mostly muted response among Big Law firms against government crackdown, showing a fearful; civil society. However, the continued litigation against administration policies shows a scared, but perhaps relatively strong civil society. ","Since taking office, Trump has signed multiple executive orders targetting large law firms that had worked on behalf of his perceived political enemies. As a result, many of these firms fear further retribution from the administration, and few leaders of major law firms have released statements criticizing the administration. However, associates at dozens of law firms have begun circulating an open letter against the administration's crackdown, with 300 associates having anonymously signed the letter since it went live a week ago. Some major law firms continue to litigate against administration policies, while some have begun litigating for the administration. ",,Norms,
Thomas Fendig (3/24/2025),3/21/2025,How a Major Democratic Law Firm Ended Up Bowing to Trump - NYT,"Schmidt, Michael S., Matthew Goldstein, Jessica Silver-Greenberg, and Ben Protess. “Paul Weiss Deal With Trump Faces Backlash From Legal Profession.” The New York Times, 21 Mar. 2025, https://www.nytimes.com/2025/03/22/us/politics/paul-weiss-trump.html.","While Paul Weiss' deal helps their firm maintain business, it sets a poor precedent for other law firms. It demonstrates that law firms may be willing to negotiate with the President--leaving civil society and leading law firms vulnerable to further intimidation. It also demonstrates a weakness among civil society will to resist against the administrations retributive campaign. ","After Trump revoked the security clearances of Paul Weiss lawyers, the firm initially planned to sue. However, after discussions, the law firm Chariman met with President Trump, agreeing to a deal to maintain their clearances. The firm apparently pledged 40 million in pro-bono work for causes the President has championed, and may have also agreed to end DEI practices and acknowledged that a political enemy of Trump, and former Paul Weiss partner had committed ""wrongdoing.""",,Unconstitutional,
Thomas Fendig (3/26/2025),3/26/2025,Columbia student protester sues U.S. to prevent deportation - WaPo,"Vinall, Frances. ""Columbia Student Yunseo Chung Sues Trump Administration Over Deportation."" The Washington Post, 25 Mar. 2025, https://www.washingtonpost.com/nation/2025/03/25/trump-lawsuit-ice-columbia-yunseo-chung.","This lawsuit represents resistance on behalf of Yunseo Cheng, a private citizen and US legal resident, seeking to prevent her arrest and deportation. This result of this lawsuit will prove extremely significant in the administration's push to silence critics.  ","Yunseo Chenga, a Columbia Student and immigrant from South Korea, has sued the administration, arguing that her demonstrations are protected by the first ammendment. Chung was arrested after participating in a demonstration and charged with obstruction of governmental administration. Days later, ICE agents informed her that her legal status was being revoked. A federal judge issued a temporary restraining order blocking authorities from detaining or deporting her.  ",,,
Thomas Fendig 3/26/2025,3/25/2025,Law firms refuse to represent Trump opponents in the wake of his attacks - WaPo,"Birnbaum, M. (2025, March 25). Law firms refuse to represent Trump opponents in the wake of his attacks. The Washington Post. https://www.washingtonpost.com/politics/2025/03/25/trump-law-firms/","This represents a threat to the Constitutional right to due process and legal representation. Additionally, by targetting lawyers, the Trump administraion is weakening civil society's capacity to challenge his actions in court--which can carry large ramifications for democracy. This appears to violate democratic norms and the constitution.","Biden-era officials, volunteers, and non-profits have all reported trouble finding legal counsel. This follows the Trump administration's actions against high-profile law firms that have assisted his perceived political enemies. Legal scholars argue that no administration has targetted the legal establishment to this extent. ",,Unconstitutional,
Thomas Fendig (3/26/2025),3/13/2025,Protesters Flood Trump Tower Over Columbia Student’s Arrest - WSJ,"Otis, Ginger Adams. ""Trump Tower Protest: Mahmoud Khalil, Columbia Student, Arrested."" The Wall Street Journal, 10 Mar. 2025, https://www.wsj.com/us-news/law/trump-tower-protest-mahmoud-khalil-columbia-student-4ea31b34",A significant protest against the Trump administration's arrest of Mahmoud Khalil.  ,300 protesters entered Trump Tower and swarmed the ground floor in a demonstration demanding the release of Mahmoud Khalil. 98 protesters were arrested and charged by the NYPD with misdemeanors. No injuries were sustained and no property was damaged. ,,,
Thomas Fendig (3/28/2025),3/28/2025,"Two Law Firms Sue Trump Administration Over Executive Orders, Another Cuts a Deal - WSJ","Scarcella, Mike, and David Thomas. ""Law Firm Jenner & Block Sues Trump Administration to Stop Executive Order."" The Wall Street Journal, 25 Mar. 2025, https://www.wsj.com/politics/policy/law-firm-jenner-block-sues-trump-administration-to-stop-executive-order-f6a209ff.","This article highlights the different approaches law firms are taking in response to targeting by the Trump administration. Some are opting to sue in court, while other are negotiating with the President. These different approaches carry major ramifications for civil society's capacity to resist and indicate civil society will. ","Jenner & Block and WilmerHale have filed lawsuits against the Trump administration, alleging that its Executive Order targetting the law firms violates the First Amendment. Around the same time, President Trump announced that a third law firm, Skadden, agreed to provide 100 million in pro bono funding for causes approved by the administration. Since taking office, the Trump administration has targetted five major law firms, stripping security clearances and government access.  ",,,
"Thomas Fendig, 4/1/2025",4/1/2025,Universities Sprint From ‘We Will Not Cower’ to Appeasing Trump - WSJ,"Severns, Maggies. ""Universities, Trump, Lobbyists, and Funding in Washington."" The Wall Street Journal, 25 Mar. 2025, https://www.wsj.com/us-news/education/universities-trump-lobbyists-funding-washington-a2e5c77a","This article highlights a lack of resistance among Universities against the Trump administration and shows the impact of the administration's campaign. Universities can often be a source of civil society resistance during times of democratic backsliding or government overreach, but the Trump administration's targeting of higher-education institutions appear to have silenced much of civil society's colleges and universities. ","As a result of the Trump administration's targetted campaign against higher education institutions, colleges, and universities have mostly abandoned their attempts to resist and have attempted to appease the administration. Columbia University has agreed to a long list of conditions with the administration in an attempt to retain federal funding, while multiple schools, including Stanford, Duke, Wake Forest, Harvard, and Vanderbilt, have hired high-ranking former Republicans lawmakers or advisors as lobbyists. Meanwhile, Republicans are continuing their push against education institutions, as lawmakers propose taxes on endowments or loan repayment programs. ",,,
