Name of contributor and date uploaded,Date of event (M/D/YYYY),Source,Citation (MLA),Violation,Summary,Notes,Classification,
Naomi York,2/24/2025,POLITICO,"Cheney, Kyle. “Trump Personally Decided to Limit Associated Press’ Access to White House.” Politico, 24 Feb. 2025, https://www.politico.com/news/2025/02/24/trump-white-house-associated-press-lawsuit-00205723.","The White House press pool has traditionally be decided by the White House Correspondents association. By seizing control, the White House takes lawful action, but ends a democratic precedence that allowed journalistic integrity. ""The AP contends that the president’s abrupt decision is both a due process violation — implicating the Fifth Amendment — and an attack on First Amendment-protected freedom of the press.""","The White House has seized control of the press pool, deciding which outlets have access to the President in the oval office, air force one, and other meetings and events that cannot be opened to a full pool. This ends a decades long precedent of journalists determining who will cover the President","The AP has sued three Trump adminstration officials. The ban is believed to be in retaliation for the AP refusing to acknowledge the ""Gulf of America"" change.  
",Unconstitutional,"Note: Please do not follow an agenda, be aware of our resposability with this database. We are looking for violations of rights and democratic blacksliding. If things are achieved throigh democratic means before you put, perhaps, you can ask the class to revise the submission"
Thomas Fendig,2/26/2025,Early Trump Administration Moves Mirror Those of Putin's Early Day - WASHPO,"Baker, Peter. “Trump Orders U.S. Diplomats to Scour Student Visa Applicants’ Social Media.” The New York Times, 25 Feb. 2025, https://www.nytimes.com/2025/03/25/us/politics/rubio-immigration-students-ozturk-chung-khalil.html.","The administrations expansion of executive authority over Justice Department and its authority over the Press pool violates the exitsing distance between the President and the DOJ as well as the White House correspondents association. These traditions have mostly been respected for years, until now. ","The Trump Administration's have begun targetting opponents, seizing control of the white house pres pool and pushing out outlets that disagree, appointing prosecutors to investigate political enemies and dropping cases against allies. While the article makes clear the United States is not Russia, it argues that the Trump's moves resemble the ealry days of Vladimir Putin's regime. ",,Norm Violation,
Thomas Fendig,03/06/2025,"Fearing Retribution, Trump Critics Muzzle Themselves - NYT","Bumiller, Elisabeth. “Trump Orders U.S. Diplomats to Scour Student Visa Applicants’ Social Media.” The New York Times, 25 Mar. 2025, https://www.nytimes.com/2025/03/25/us/politics/rubio-immigration-students-ozturk-chung-khalil.html.","So far the administration's retribution has fallen within legal grounds. However, the administrations continued silencing and targetting of critics is a vast departure from past democratic precendence and values.  ","During the 2024 campaign and since taking office, Trump has promised retribution and has already begun targetting percieved political enemies--revoking security details and clearances for critics, criticizied republican official who threaten his agenda, and targetted intellectuals. Elon Musk has used his platform X to lambast Republicans who seem to waver on administration priorities and has promised to fund primary challenges for those who vote contrary to the administration's state policy Threats of political violence by Trump supports have targetted critics inside and outside of the Republican party. In the face of this significant pressure, many former or would be critics have gone silent. ",,Norm Violation,"What have we will document: Attack on DEI's policy, immigration and deporations, education, foreign aid, media attacks, FBI, erasure of knowledge, democratic backsliding, judicial changes, private information access, staff purges, dismantle of institutions and individuals rights "
Thomas Fendig,3/7/25,These Words are Disappearing in the New Administration - NYT,"Yourish, Karen, Annie Daniel, Saurabh Datar, Isaac White, and Lazaro Gamio. ""These Words Are Disappearing in the New Trump Administration."" The New York Times, 7 Mar. 2025, https://www.nytimes.com/interactive/2025/03/07/us/trump-federal-agencies-websites-words-dei.html.","It is the administration's perogative to ammend government language to fit their agenda. However, the administrations efforts far exceed previous efforts and prove much more wide-ranging, showing a departure of establish government norms.","The Trump administration has issued various memos, official/unofficial guidances, and other documents banning, suspending, flagging, or advising caution in the use of hundres of words in government policy, communications, websites, curriculum, etc. The words reflect ideas, policy, or concepts the administrations considers ""woke"", including diversity, equity, and inclusion. ",,Norm Violation,
Thomas Fendig,2/2/2025,Thousands of U.S. Government Web Pages Have Been Taken Down - NYT,"Singer, Ethan. ""Thousands of U.S. Government Web Pages Have Been Taken Down Since Friday."" The New York Times, 2 Feb. 2025, https://www.nytimes.com/2025/02/02/upshot/trump-government-websites-missing-pages.html.",The targetting of data and information is common among fledgling authoritarian regimes and often starts the downward spiral to censorship,"The Trump administration has taken down over 8,000 pages in the two weeks of the administration removing information about vaccines, veterans care, hate crimes and scientific research, among many other topics. The removed pages include resources from the CDC, Census Bureau, Office of Justice Programs, the Head Start initiative, the Department of Justice, and multiple other departments, bureaus, offices, agencies and councils. ",,Norm Violation,
Thomas Fendig,03/09/2025,Fear of Trump Has Elite Law Firms in Retreat - WSJ,"Mulvaney, Erin, and C. Ryan Barber. ""Fear of Trump Has Elite Law Firms in Retreat."" The Wall Street Journal, 9 Mar. 2025, https://www.wsj.com/us-news/law/fear-of-trump-has-elite-law-firms-in-retreat-6f251dec?st=dTAwpH&reflink=desktopwebshare_permalink.",The self-censorship of large law firms affects their ability to hold the current administration accountable and weakens the will and capacity of civil society in promoting democracy and vertical accountability.,"Recently, the Trump administration has targetted elite law firms stripping them of security clearances, government contracts, and access, seeminly in response for their role in resistance to the previous Trump administration. In response, many law firms have stayed silent, fearing retribution. These larger firms are also less likely to help with cases against Trump, worried about how Trump's response would affect their bottom line. ",,Unlawful,
Thomas Fendig,3/11/2025,How Trump is reshaping reality by hiding data - WASHPO,"Shendruk, Amanda, and Catherine Rampell. ""How Trump Is Reshaping Reality by Hiding Data."" The Washington Post, 11 Mar. 2025, https://wapo.st/3EqHfmG.","These practices are not uncommon in American politics, but as the article points out, the Trump administration has elevated this strategy. The articles also points out that authoritarian regimes often implement erasure and manipulation to push beneficial narratives and hide problems.","Throughout his political career, Donald Trump has become known for his falsehoods and data manipulation. Since taking office, he has accelerated his erasure and censorship. DOGE has deleted 404 pages thus far, including information on climate, sexual orientation and gender, natural hazards, crime and health. The President and his surrogate have also manipulated data to obscure their shortcomings and highlight their successes. ",,Norm Violation,
Thomas Fendig,3/15/2025,"Trump moves to gut several agencies, targeting Voice of America, libraries - WAPO","Tucker, Brianna, and Emily Davies. ""Trump Moves to Gut Several Agencies, Targeting Voice of America, Libraries."" The Washington Post, 15 Mar. 2025, https://wapo.st/4lN9blE.","The administration is billing these as cost-cutting measures and the executive order requires the actions to fall within the guidelines of existing law. However, the attempt to unilaterally shutter congressionally-created agencies without congressional action, even within the extents of existing law, demonstrates an expansion of executive authority and an attempt to circumvent Congress. Additionally, the Government's targeting of media and education agencies demonstrates a targeting of academics, which often occurs in the beginning of autocratic regimes in an effort to prevent dissent. ","Donald Trump has signed an executive order seeking to eliminate ""to the maximum extent consistent with applicable law"" several federal agencies that oversee Voice of America, minority business enterprises, museums, and library services. The USA Agency for Global Media oversees Voice of America, and several other federally funded news outlets, and is an independent agency established by Congress, meaning the President cannot unilaterally close it. Voice of America is tasked with countering authoritarianism through independent news coverage. The order also targetted The Woodrow Wilson International Center for Scholars, the Institute for Museum and Library Services, the Federal Meditation and Concilation Service, the Community Development Financial Institutions Fund, and the US intragency council on Homelessness. ",,Norm Violation,
"Teodor Bortan, 4/3/2025",4/2/2025,Trump's Crusade against Big Law Firms Sparks Fears of Long-Lasting Damage - CBS,"Quinn, Melissa. ""Trump's Crusade Against Big Law Firms Sparks Fears of Long-Lasting Damage."" CBS News, 2 Apr. 2025, https://www.cbsnews.com/news/trumps-big-law-firms-retribution/","

President Trump is targetting major law firms with executive orders to seek revenge against his enemies. His primary targets are those linked with past efforts to have held him legally accountable. A fundamental principle of democracy is the rule of law; Trump is undermining the legal system and censoring his dissidents, implicating that he is trying to rule unchecked. Lawyers at these firms argue that these executive orders violate the First, Fifth, and Sixth Amendments. ","President Trump has issued a series of executive orders targeting major U.S. law firms, escalating his efforts to penalize political opponents and reshape the legal landscape. The orders have drawn alarm from legal scholars and practitioners, who argue they threaten the rule of law by discouraging firms from taking cases against the administration.

The targeted firms have been singled out due to their past legal work, particularly their involvement in cases or investigations related to Trump. Paul Weiss initially faced penalties but reached an agreement with the administration to provide $40 million in pro bono legal services for causes Trump supports. Other firms, including Skadden Arps and Willkie Farr & Gallagher, have proactively struck deals with the administration, each committing at least $100 million in free legal work to avoid repercussions.
",,Norm Violation,
"Tali Levine, 4/8/25",4/3/2025,Education Dept. warns schools: Eliminate DEI programs or lose funding,"Mehta, Jonaki. “Education Dept. Warns Schools: Eliminate Dei Programs or Lose Funding.” NPR, NPR, 3 Apr. 2025, www.npr.org/2025/04/03/nx-s1-5350978/trump-administration-warns-schools-about-dei-programs. ","The Trump administration has threatened to withhold federal funds from public schools that have diversity, equity and inclusion programs.","The U.S. Education Department under Trump has said Title I funding, which is targeted to schools with a high proportion of low income students, would be threatened if schools failed to follow its interpretation of civil rights laws.",,Social Contradiction,
"Teodor Bortan, 4/15/2025",4/4/2025,,"Ismay, John. “These Are the 381 Books Removed from the Naval Academy Library.” The New York Times, 4 Apr. 2025, www.nytimes.com/2025/04/04/us/politics/naval-academy-dei-books-removed.html.

‌","First Amendment trouble: removing books based on their political or social content violates academic freedom and amounts to government-imposed censorship.Eliminating works on the Holocaust, racism, and civil rights can be seen as an attempt to suppress critical historical education, undermining students' ability to engage with real-world issues. ","At the request of Defense Secretary Pete Hegseth, U.S. Naval Academy removed 381 books about racism, gender, sexuality, and on the Holocaust from its Nimitz Library. This was done to extend President Trump’s January 2025 executive order banning diversity, equity, and inclusion (DEI) materials in K–12 education to the college-level academy. 

",Unsure what to classify this as,Social Contradiction,
"Tali Levine, 4/21/25",4/12/25,Trump administration overrode Social Security staff to list immigrants as dead,"Natanson, Hannah. “Trump Administration Overrode Social Security Staff to List Immigrants as Dead .” The Washington Post, www.washingtonpost.com/politics/2025/04/12/trump-immigrants-dead-social-security/.",Labeling people dead strips them of the privacy protections granted to living individuals — and knowingly classifying living people as dead counts as falsifying government records.,"The Washington Post reported that a senior Social Security Administration executive was escorted out of his office by security and placed on leave after he objected to the Trump government’s effort to add thousands of living immigrants to the agency’s deaths database. Putting someone who is alive on the death database prevents them from being able to legally earn wages, and, according to the Post, “officials hoped, [spur] them to leave the country.”",,Unlawful,
,4/16/25,"In latest media crackdown, White House limits newswire access to Trump | Reuters","Oliphant, James. ""In latest media crackdown, White House limits newswire access to Trump."" Reuters, 16 Apr. 2025. https://www.reuters.com/business/media-telecom/latest-media-crackdown-white-house-limits-newswire-access-trump-2025-04-16",The Trump administration threatens press access from big news outlets like Reuters and Bloomberg which courts already said the administration can’t do that. This move hurts press freedom and makes it harder for journalists to hold the president accountable.,After a judge ruled that the AP had to be let back in Trump White House responded by cutting permanent press pool seats for wire services like Reuters. They said it was about “control” but it looked more like payback.,added by Mohammad Ibrahim  (TJ Spring 25),Norm Violation,
,4/15/25,Trump plans order to cut funding for NPR and PBS,"Neuman, Scott. ""Trump to halt federal funds for NPR, PBS, other public media."" NPR, 15 Apr. 2025. https://www.npr.org/2025/04/15/nx-s1-5352827/npr-pbs-public-media-trump-rescission-funding","President Trump tried to cut funding for NPR and PBS calling them “radical, woke propaganda,” which continues the administration's crackdown on media independence. The executive order illustrates the administration's continued efforts to censor media that they disagree with.  ","The White House proposed cutting about $1.1 billion from the Corporation for Public Broadcasting, which helps fund NPR and PBS. ",added by Mohammad Ibrahim  (TJ Spring 25),Norm Violation,
,3/28/2025,Vance to wipe ‘improper ideology’ from the Smithsonian - POLITICO,"Sentner, Irie. “Vance to Wipe ‘Improper Ideology’ from the Smithsonian.” Politico, 28 Mar. 2025, https://www.politico.com/news/2025/03/28/jd-vance-smithsonian-ideology-028386. Accessed 14 June 2025. ","The order represents an effort to increase the administration's influence in the Smithsonian. The Smithsonian is not a government agency who's missions have traditionally attempted to avoid partisan influence, however many partisan figures, including the Vice President, have a role on the Board of Regents. Increased Presidential authority could be used to censor competing ideologies. ","An executive order has tasked Vice President JD Vance to remove ""improper ideology"" from the Smithsonian. The Vice President was ordered to cut funding to exhibits or programs that ""promote ideology inconsist with federal law or policy."" This includes those that recognize transgender people, “degrade shared American values,” or “divide Americans based on race.""",,Norm Violation,
,6/12/2025,California Senator Padilla Forcibly Removed From Press Conference on Protests - WSJ,"Morphet, Jack, Lindsay Wise, and Robert Barba. “California Senator Alex Padilla Forcibly Removed From Press Conference on Protests.” The Wall Street Journal, 12 June 2025, https://www.wsj.com/politics/policy/california-senator-alex-padilla-ejected-noem-event-81c29dae. Accessed 14 June 2025.","The temporary detainment could be seen as an effort to intimidate dissenters in the ranks of government. However, it could also be an effort by Secret Service agents to protect a cabinet secretary without the knowledge of Padilla's status as a Senator when he approached the podium in the middle of a press conference.. ",California Senator Alex Padilla was forcibly removed and handcuffed after interrupting DHS Secretary Kristi Noem at a press conference regarding the California protests. He was later released without being charged. Secretary Noem says that she and Padilla exchanged numbers after the incident and have had a discussion. The DHS said Secret Service Officers were not initially aware that Padilla was a Senator when they removed him. ,I am not sure if this belongs in the database or if it arises to the lvel of democratic backsliding. ,Social Contradiction,
,6/20/2025,ICE Moves to Deport Georgia Immigration Reporter - WSJ,"Albert, Victoria. “ICE Moves to Deport Georgia Immigration Reporter.” The Wall Street Journal, 20 June 2025, https://www.wsj.com/us-news/ice-moves-to-deport-georgia-immigration-reporter-c5a99a27. Accessed 21 June 2025.","The effort to deport an immigration reporter who covered recent anti-Trump protests appears to be an effort to censor dissent and target the media, an important member of civil society. ","The Department of Homeland Security has moved to deport reporter Mario Guevara, who was arrested while covering the recent ""No Kings"" protests. Guevara is a Salvadorian national and immigration reporter. He was charged by willful obstruction after refusing to comply with local police orders to move off the street. The DHS contends that Guevara immigrated to the US illegally, while his lawyers argue he received asylum status and proper documentation to work. ",,Norm Violation,
,7/21/2025,White House Bans Wall Street Journal From Press Pool on Trump’s Scotland Trip - WSJ,"Robertson, Katie. ""White House Bans Wall Street Journal From Press Pool on Trump’s Scotland Trip."" The New Yorks, 21 July 2025. https://www.nytimes.com/2025/07/21/business/media/trump-scotland-wsj-press-pool.html Accessed 24 July 2025. ","The decision to remove the Wall Street Journal from the press pool after it portrayed the President in a negative way appears to have violated an important democratic practice: that the White House does not select its journalists. This continues efforts by the White House to crack down on the media, an integral member of civil society. ","The White House barred the Wall Street Journal from the Scotland press pool following their article regarding a lewd birthday card allegedly sent to Jeffrey Epstein by Donald Trump. A day after the Wall Street Journal published the article, Trump, the Journal's publisher, parent company, and other high-profile individuals involved in the Wall Street Journal. The White House had previously barred the Associated Press from participating in press pools after their decision not to abide by President Trump's efforts to rename the Gulf of Mexico to the Gulf America. ",,,
,7/31/2025,Smithsonian removes Trump from impeachment exhibit in American history museum - WaPo,"Kingsberry, Janay. ""Smithsonian removes Trump from impeachment exhibit in American history museum."" The Washington Post, 31 July 2025. https://www.washingtonpost.com/entertainment/2025/07/31/trump-impeachment-smithsonian/","Since taking office, President Trump's administration has placed significant pressure on the Smithsonian. This apparent erasure of Presidential history shows the dangerous effects of that pressure campaign. Censorship is an authoritarian instinct to quell dissent and prevent political learning that could benefit democracy. ","The Smithsonian Museum of American History removed mentions of Donald Trump's two impeachments from an exhibit. A temporary label had included information about Donald Trump's two impeachments, as well as Clinton's and Johnson's, and also discussed Nixon's resignation. The updated exhibit now says: ""only three presidents have seriously faced removal."" The Smithsonian has since released a statement announcing that ""a future and updated exhibit will include all impeachments."" ",,Norm Violation,
