Name of Contributor and date of Contribution,Date of event (M/D/YYYY),Source,Citation (MLA),Violation,Summary,Notes,Classification,
Thomas Fendig,2/27/2025,Pentagon Plans to Remove Transgender Service Members - CNN,"Britzky, Haley. “Pentagon Plans to Remove Transgender Service Members under New Policy | CNN Politics.” CNN, Cable News Network, 28 Feb. 2025, www.cnn.com/2025/02/26/politics/pentagon-remove-transgender-service-members-new-policy. ","By conditioning service on gender, the order appears to represent an unconstitutional form of sex descrimination","Following an Executive Order by Donald Trump, the Pentagon has issued an memo announcing that service members diagnosed or exhibit symptoms of gender dysphoria will be processed for separation from military service. The memo faces legal challenges. ",,Social Contradictions,"Note: Please do not follow an agenda, be aware of our resposability with this database. We are looking for violations of rights and democratic blacksliding. If things are achieved throigh democratic means before you put, perhaps, you can ask the class to revise the submission"
Thomas Fendig,3/4/2025,"Trump threatens funding to colleges allowing ""legal protests."" - REUTERS","Singh, Kanishka, and Johnathan Allen. “Trump Threatens Funding Cut to Colleges Allowing ‘illegal Protests’ | Reuters.” Reuters, Reuters, 4 Mar. 2025, www.reuters.com/world/us/trump-says-federal-funding-will-stop-colleges-schools-allowing-illegal-protests-2025-03-04/. ",Imprisoning/deporting protestors and cutting federal funding to Colleges would appear to violate the first ammendments protections of free speech.,"In a social media post, President Trump threatened to cut federal funding for colleges that allowed ""illegal protests."" Additionally, he threatened to deport/imprison perceived ""agitators."" ",,Unconstitutional ,
Naomi York  ,2/5/2025,"The Wall Street Journal - ""Trump Order Set to Ban Transgender Girls and Women From Female School Sports"" ","Andrews, Natalie, and Louise Radnofsky. “Trump Order Set to Ban Transgender Girls and Women From Female School Sports.” The Wall Street Journal, The Wall Street Journal, 4 Feb. 2025, www.wsj.com/politics/policy/transgender-athletes-women-sports-executive-order-6223e414?reflink=desktopwebshare_permalink. ",Banning transgender girls and women from participating in female sports events in schools and colleges,"Following an Executive Order by President Trump, called ""Keeping Men Out of Women’s Sports"", it instructs, ""it is the policy of the United States to rescind all funds from educational programs that deprive women and girls of fair athletic opportunities, which results in the endangerment, humiliation, and silencing of women and girls and deprives them of privacy."" Their argument is that this executive order aligns more with the true meaning of what Title IX is. ","Unclear how this would formulate totally, but some predict it would mean the department of Education would have to interpret Title IX as excluding transgender athletes, and then having them create regulations based on that interpretation. ",Social Contradictions,"What have we will document: Attack on DEI's policy, immigration and deporations, education, foreign aid, media attacks, FBI, erasure of knowledge, democratic backsliding, judicial changes, private information access, staff purges, dismantle of institutions and individuals rights "
Thomas Fendig,3/9/2025,ICE Arrests Columbia Student Who Helped Lead Pro-Palestinian Protests - WSJ,"Otis, Ginger Adams. “DHS Detains Columbia Student Who Helped Lead Pro-Palestinian Protests.” The Wall Street Journal, 9 Mar. 2025, https://www.wsj.com/us-news/dhs-detains-columbia-student-who-helped-lead-pro-palestinian-protests-fbbd8196.","Khalil is a permeaneant resident who appears to have been detained in response to his activism, which may indicate a government crackdown on university activism, which Trump has already threatened in social media posts.","ICE has detained Mahmoud Khalil, a student who led the Columbian pro-Palestinian protests last year. Although he had a student visa and a green card, both had been revoked--in compliance with Trump's Executive Order ""prohibitting anti-semitism."" ",,Norm Violation,
Thomas Fendig,3/12/2025,ICE Returns All Migrants From Guantánamo to Stateside Facilities - NYT,"Rosenberg, Carol, and Charlie Savage. “Some Migrants Sent by Trump to Guantánamo Are Being Held by Military Guards.” The New York Times, 12 Mar. 2025, https://www.nytimes.com/2025/03/12/us/politics/ice-migrants-guantanamo.html.",The imprisonment of migrants in Guantanamo Bay may violate federal laws by forcing the transfer of people to an unrelated country without their consent and has drawn legal challenges. ,"ICE has returned all 290 migrants from Guantanamo Bay to stateside facilities. It comes after a recent court filing found that the migrants, which the trump administration considers dangerous, were subject to strip searches and pat downs. Additionally, six migrants have been reported to undertake ""self-harm"" attempts.",,Unlawful,
"Kaiya Inouye, 3/26/2025",3/25/2025,Federal Government Detains International Student at Tufts - NYT,"Russell, Jenna, Şafak Timur, Anemona Hartocollis, and Eduardo Medina. “ICE Detains Tufts Student, Stirring Concerns Among Advocates and Officials.” The New York Times, 26 Mar. 2025, https://www.nytimes.com/2025/03/26/us/ice-tufts-student-detained-rumeysa-ozturk.html.",Rumeysa was said to have been a valid student visa holder and taken into custody and targeted for her pro-Palestinian activism. This appears to violate the established democratic norms regarding speech and expression. ,"A Tufts University student, Rumeysa Ozturk, was taken into federal custody by the Department of Homeland Security, even though her lawyer says she had a valid student visa","Her transfer out of state is unlawful, but her reason for arrest in unconstitutional ",Norm Violation,
"Tali Levine, 3/26/2025",3/25/2025,Trump seeks to mandate proof of citizenship in voter registration,"Joffe-Block, Jude. “Trump Seeks to Mandate Proof of Citizenship in Voter Registration.” NPR, NPR, 26 Mar. 2025, www.npr.org/2025/03/26/g-s1-55927/trump-voting-citizenship-executive-order. ",It is an unconstitutional attempt to erect arbitrary barriers to the ballot that risk disenfranchising millions of low-income Americans who do not have documents like passports or drivers licenses. The President does not have the explicit power to regulate federal elections in the Constitution – that responsibility is left for the Congress and the states. ,"The executive order directs the Election Assistance Commission to change the national mail voter registration form to require documentary proof of citizenship, such as a passport, to register to vote. ",,Unconstitutional ,
"Kasey Quiche, 3/26/2025",3/26/2025,Tufts PhD on Visa Arrested  By Masked Federal  Immigration Authorities -  ABC ,"Barr, Luke. “Tufts PhD Student on Visa Arrested by Immigration Authorities, School Says.” ABC News, 26 Mar. 2025, https://abcnews.go.com/US/tufts-phd-student-visa-arrested-immigration-authorities/story?id=120176245.","The arrest of Rumeysa Ozturk, who is a valid visa holder, was seemingly linked to her pro-Palestinian activism. The use of immigration enforcement to penalize student activism under vague national security claims erodes democratic norms of free speech, setting a dangerous precedent for silencing critics through state power. The disregard of a federal court order requiring DHS to provide notice before transferring her to a Louisiana detention center reflects a dangerous erosion of judicial oversight and the executive branch bypassing checks and balances. ","Rumeysa Ozturk, a Turkish national and a student at Tufts with a valid F-1, was grabbed off the streets by plainclothes DHS officers wearing masks and using unmarked vehicles in Somerville, MA, on March 25, 2024. DHS alleges Ozturk engaged in activities supporting Hamas, leading to the termination of her visa.",,Norm Violation,
"Kaiya Inouye, 3/28/2025",3/28/2025,Trump Signs Executive Order Ending Collective Bargaining Rights for Many Federal Workers - CNN,"Iyer, Kaanita, and Tami Luhby. “Trump Signs Executive Order Ending Collective Bargaining for Many Federal Workers.” CNN, 28 Mar. 2025, https://www.cnn.com/2025/03/28/politics/executive-order-collective-bargaining-national-security/index.html.","This executive order hinders the rights of union members to organize and speak up against the federal government's unfair practices, with the AFGE preparing immediate legal action to reinstate collective bargaining rights for federal employees as President Trump attempts to implement mass layoffs/restructuring","President Trump signed an executive order that ends collective bargaining for government employees whose work includes national security aspects, impacting numerous federal agencies. This executive order seeks to prevent opposition of federal unions and their right to stand up to harmful policies in lieu of massive federal layoffs.",,Unlawful,
"Teodor Bortan, 4/1/2025",4/1/2025,"U.S. Says Deportation of Maryland Man was an ""Administrative Error"" - NYT","Watkins, Ali, and Alan Feuer. “Maryland Man Mistakenly Deported to El Salvador Faces Legal Battle.” The New York Times, 1 Apr. 2025, https://www.nytimes.com/2025/04/01/us/politics/maryland-man-deportation-error-el-salvador.html.","Kilmar Garcia had ""withholding from removal"" status in American courts, meaning he had a deportation order but was legally allowed to stay in the country due to the risk of harm in El Salvador. ICE agents disregarded this protection. Moreover, Garcia was not given a chance to contest his removal, violating his rights of due process under U.S. immigration law, and the Constitution.","Kilmar Armando Abrego Garcia, a legally protected immigrant in the U.S. since 2019, was mistakenly deported to El Salvador due to an ""administrative error"" by the Trump administration. Despite his ""withholding from removal"" status, which legally allowed him to remain, immigration agents incorrectly told him his status had changed. He was deported on March 15 and is now imprisoned in El Salvador’s CECOT mega-prison.

The administration acknowledges the mistake but claims U.S. courts lack jurisdiction to order his return. His family has sued, seeking to pressure the U.S. government to intervene, but officials argue his case should not interfere with broader foreign policy objectives.","Garcia is currently in a Salvadoran prison, but the United States cannot secure his release because of a jurisdiction issue. UPDATE: The Supreme Court has ordered the U.S. government to return Garcia, but so far, the US has not done so. Rather, the Trump administration is pushing the (false?) message that Garcia was an illegal alien, a member of MS13, and a human trafficker. So far there is no evidence that supports these claims. The question is raised as to whether the Trump administration is lying about Garcia's criminal status to justify its mistakes in deporting him/no accountability. ",Unconstitutional ,
